Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
4,0.0833333333333333,1709,1,100.0,0
52,0.183098591549296,1705,6,3.05795899016238,0
14,0.194444444444444,1653,4,22.2634508348794,0
0,0.0,1639,0,0.0,0
4,0.444444444444444,4813,2,37.5,0
68,0.345177664974619,4809,17,2.65218489517555,0
133,0.810975609756098,4741,17,1.78984593137004,0
0,0.0,4608,0,0.0,0
239,6.82857142857143,3103,9,1.50971973914368,0
596,5.57009345794393,2864,15,0.410058672737078,0
408,5.74647887323944,2268,10,0.704255181149205,0
415,5.92857142857143,1860,12,0.727609485328037,0
210,6.7741935483871,1445,9,1.82341154489834,0
189,6.3,1235,11,1.09502641456952,0
0,0.0,1046,0,0.0,0
226,2.75609756097561,1573,14,3.00893065784855,0
248,0.654353562005277,1347,15,1.90076604071384,0
0,0.0,1099,0,0.0,0
0,0.0,7705,0,0.0,0
12,12.0,7705,5,11.437908496732,0
17,4.25,7693,8,7.11814137419674,0
0,0.0,7676,0,0.0,0
12,12.0,7676,3,11.9047619047619,0
13,6.5,7664,4,14.4796380090498,0
1,0.5,7651,1,100.0,0
9,9.0,7650,4,19.7530864197531,0
9,9.0,7641,3,15.5555555555556,0
21,10.5,7632,6,6.25651720542231,0
8,8.0,7611,3,17.3076923076923,0
11,3.66666666666667,7603,3,12.9186602870813,0
0,0.0,7592,0,0.0,0
13,13.0,7592,4,9.92555831265509,0
10,10.0,7579,3,18.2608695652174,0
13,13.0,7569,4,12.51629726206,0
8,2.66666666666667,7556,4,15.625,0
14,14.0,7548,4,12.1951219512195,0
18,9.0,7534,2,19.7530864197531,0
7,7.0,7516,4,17.5824175824176,0
0,0.0,7509,0,0.0,0
19,4.75,7509,5,7.36842105263158,0
0,0.0,7490,0,0.0,0
21,10.5,7490,5,6.68337510442774,0
10,10.0,7469,4,12.7272727272727,0
14,3.5,7459,6,9.70350404312669,0
21,21.0,7445,4,8.55614973262032,0
10,5.0,7424,3,14.1176470588235,0
7,2.33333333333333,7414,3,19.4805194805195,0
13,13.0,7407,5,9.35550935550936,0
11,11.0,7394,4,16.7832167832168,0
7,7.0,7383,3,19.4805194805195,0
13,13.0,7376,4,9.92555831265509,0
13,3.25,7363,3,14.4230769230769,0
34,17.0,7350,5,6.02582496413199,0
10,10.0,7316,3,14.1176470588235,0
7,7.0,7306,2,24.4897959183673,0
7,2.33333333333333,7299,2,24.4897959183673,0
7,7.0,7292,2,24.4897959183673,0
13,13.0,7285,4,11.7839607201309,0
0,0.0,7272,0,0.0,0
11,11.0,7272,5,10.9717868338558,0
22,5.5,7261,4,9.59040959040959,0
9,9.0,7239,3,15.5555555555556,0
0,0.0,7230,0,0.0,0
19,9.5,7230,3,17.4515235457064,0
10,10.0,7211,2,18.0,0
10,3.33333333333333,7201,3,18.2608695652174,0
0,0.0,7191,0,0.0,0
13,13.0,7191,4,11.7839607201309,0
12,12.0,7178,5,10.1010101010101,0
13,13.0,7166,6,11.7839607201309,0
17,4.25,7153,3,11.2299465240642,0
0,0.0,7136,0,0.0,0
7,7.0,7136,3,19.4805194805195,0
11,11.0,7129,4,11.6363636363636,0
17,8.5,7118,5,9.51557093425606,0
0,0.0,7101,0,0.0,0
19,4.75,7101,4,8.20232399179768,0
7,7.0,7082,4,17.5824175824176,0
24,12.0,7075,2,15.2777777777778,0
2,1.0,7051,1,100.0,0
18,9.0,7049,4,10.6995884773663,0
0,0.0,7031,0,0.0,0
22,11.0,7031,6,6.70640834575261,0
0,0.0,7009,0,0.0,0
25,6.25,7009,4,12.2247191011236,0
0,0.0,6984,0,0.0,0
0,0.0,6984,0,0.0,0
22,11.0,6984,6,6.70640834575261,0
0,0.0,6962,0,0.0,0
13,13.0,6962,4,9.92555831265509,0
14,3.5,6949,3,13.469387755102,0
0,0.0,6935,0,0.0,0
23,11.5,6935,3,12.3913043478261,0
12,12.0,6912,3,15.5172413793103,0
7,1.75,6900,3,24.4897959183673,0
0,0.0,6893,0,0.0,0
11,11.0,6893,5,12.396694214876,0
17,5.66666666666667,6882,3,11.2299465240642,0
7,2.33333333333333,6865,2,24.4897959183673,0
15,15.0,6858,3,12.6315789473684,0
14,14.0,6843,2,13.265306122449,0
5,2.5,6829,2,32.0,0
11,2.75,6824,3,18.475073313783,0
0,0.0,6813,0,0.0,0
7,7.0,6813,2,24.4897959183673,0
20,10.0,6806,6,7.35849056603774,0
7,2.33333333333333,6786,2,24.4897959183673,0
13,13.0,6779,2,14.2011834319527,0
9,9.0,6766,4,14.0350877192982,0
9,9.0,6757,3,20.0,0
0,0.0,6748,0,0.0,0
9,9.0,6748,4,14.0350877192982,0
19,4.75,6739,4,8.20232399179768,0
9,9.0,6720,2,19.7530864197531,0
8,8.0,6711,2,21.875,0
7,1.75,6703,2,24.4897959183673,0
0,0.0,6696,0,0.0,0
17,17.0,6696,2,20.7612456747405,0
13,13.0,6679,4,9.92555831265509,0
6,6.0,6666,2,27.7777777777778,0
9,9.0,6660,2,19.7530864197531,0
8,2.66666666666667,6651,2,21.875,0
0,0.0,6643,0,0.0,0
21,10.5,6643,4,9.23520923520923,0
21,10.5,6622,3,13.4920634920635,0
12,4.0,6601,2,15.2777777777778,0
0,0.0,6589,0,0.0,0
11,11.0,6589,5,12.987012987013,0
0,0.0,6578,0,0.0,0
125,2.04918032786885,3358,13,1.44183927352895,0
86,1.32307692307692,3233,10,1.43864520725625,0
124,2.33962264150943,3147,8,1.65096701292074,0
0,0.0,3023,0,0.0,0
0,0.0,3023,0,0.0,0
79,1.83720930232558,3023,7,2.93421743894986,0
